"country","genre","total_titles","genre_present","coverage_pct","diversity_rank"
Czech Republic,Docuseries,3,1,33.33,12
Czech Republic,Dramas,3,1,33.33,12
Czech Republic,Faith & Spirituality,0,0,33.33,12
Czech Republic,Horror Movies,1,1,33.33,12
Czech Republic,Independent Movies,0,0,33.33,12
Czech Republic,International Movies,3,1,33.33,12
Czech Republic,International TV Shows,0,0,33.33,12
Czech Republic,Kids' TV,0,0,33.33,12
Czech Republic,Korean TV Shows,0,0,33.33,12
Czech Republic,LGBTQ Movies,0,0,33.33,12
Czech Republic,Movies,0,0,33.33,12
Czech Republic,Music & Musicals,0,0,33.33,12
Czech Republic,Reality TV,0,0,33.33,12
Czech Republic,Romantic Movies,1,1,33.33,12
Czech Republic,Romantic TV Shows,0,0,33.33,12
Czech Republic,Sci-Fi & Fantasy,1,1,33.33,12
Czech Republic,Science & Nature TV,1,1,33.33,12
Czech Republic,Spanish-Language TV Shows,0,0,33.33,12
Czech Republic,Sports Movies,0,0,33.33,12
Czech Republic,Stand-Up Comedy,0,0,33.33,12
Czech Republic,Stand-Up Comedy & Talk Shows,0,0,33.33,12
Czech Republic,Teen TV Shows,0,0,33.33,12
Czech Republic,Thrillers,1,1,33.33,12
